locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILCLPFNH_00082	CDS	1524	ettA	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
ILCLPFNH_00083	CDS	1110				hypothetical protein
ILCLPFNH_00084	CDS	1605				hypothetical protein
ILCLPFNH_00085	CDS	912				hypothetical protein
ILCLPFNH_00086	CDS	141				hypothetical protein
ILCLPFNH_00087	CDS	1854				hypothetical protein
ILCLPFNH_00088	CDS	1362	pyrK_1			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
ILCLPFNH_00089	CDS	1260	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
ILCLPFNH_00090	CDS	348				hypothetical protein
ILCLPFNH_00091	CDS	858				hypothetical protein
ILCLPFNH_00092	CDS	996	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
ILCLPFNH_00093	CDS	711	rspR		COG1802	HTH-type transcriptional repressor RspR
ILCLPFNH_00094	CDS	729				hypothetical protein
ILCLPFNH_00095	CDS	156				hypothetical protein
ILCLPFNH_00096	CDS	1461	ywrD	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
ILCLPFNH_00097	CDS	1668	lctP		COG1620	L-lactate permease
ILCLPFNH_00098	CDS	1482		2.4.1.281		4-O-beta-D-mannosyl-D-glucose phosphorylase
ILCLPFNH_00099	CDS	1026	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
ILCLPFNH_00100	CDS	1239	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ILCLPFNH_00101	CDS	1071				hypothetical protein
ILCLPFNH_00102	CDS	978				hypothetical protein
ILCLPFNH_00103	CDS	1929				hypothetical protein
ILCLPFNH_00104	CDS	102				hypothetical protein
ILCLPFNH_00105	CDS	588				hypothetical protein
ILCLPFNH_00106	CDS	504				hypothetical protein
ILCLPFNH_00107	CDS	1167	boxB	1.14.13.208		Benzoyl-CoA oxygenase component B
ILCLPFNH_00108	CDS	1866				hypothetical protein
ILCLPFNH_00109	CDS	1017				hypothetical protein
ILCLPFNH_00110	CDS	933	araQ_1		COG0395	Arabinooligosaccharides transport system permease protein AraQ
ILCLPFNH_00111	CDS	966	araP_1		COG1175	Arabinooligosaccharides transport system permease protein AraP
ILCLPFNH_00112	CDS	831				hypothetical protein
ILCLPFNH_00113	CDS	309				hypothetical protein
ILCLPFNH_00114	CDS	816	prkC	2.7.11.1		Serine/threonine-protein kinase PrkC
ILCLPFNH_00115	CDS	1308				hypothetical protein
ILCLPFNH_00116	CDS	1356	pafA	6.3.1.19	COG0638	Pup--protein ligase
ILCLPFNH_00117	CDS	2343	mtgA_2	2.4.99.28		Biosynthetic peptidoglycan transglycosylase
ILCLPFNH_00118	CDS	426	mreB_1		COG1077	Cell shape-determining protein MreB
ILCLPFNH_00119	CDS	897				hypothetical protein
ILCLPFNH_00120	CDS	555				hypothetical protein
ILCLPFNH_00121	CDS	2046	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
ILCLPFNH_00122	CDS	1179	spoVE		COG0772	Stage V sporulation protein E
ILCLPFNH_00123	CDS	564	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
ILCLPFNH_00124	CDS	132				hypothetical protein
ILCLPFNH_00125	CDS	1011	moxR1_1		COG0714	Chaperone MoxR1
ILCLPFNH_00126	CDS	909				hypothetical protein
ILCLPFNH_00127	CDS	1983				hypothetical protein
ILCLPFNH_00128	CDS	2826				hypothetical protein
ILCLPFNH_00129	CDS	1287	entS_1			Enterobactin exporter EntS
ILCLPFNH_00130	CDS	2064	dpp5	3.4.14.-	COG0823	Dipeptidyl-peptidase 5
ILCLPFNH_00131	CDS	1182		2.3.1.9	COG0183	putative acetyl-CoA acetyltransferase
ILCLPFNH_00132	CDS	111				hypothetical protein
ILCLPFNH_00133	CDS	1368	guaA_1	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
ILCLPFNH_00134	CDS	495				hypothetical protein
ILCLPFNH_00135	CDS	996				hypothetical protein
ILCLPFNH_00136	CDS	264				hypothetical protein
ILCLPFNH_00137	CDS	261				hypothetical protein
ILCLPFNH_00138	CDS	1290	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
ILCLPFNH_00139	CDS	1146				hypothetical protein
ILCLPFNH_00140	CDS	381	aroH_1	5.4.99.5	COG4401	Chorismate mutase AroH
ILCLPFNH_00141	CDS	831		5.4.99.-	COG1187	putative RNA pseudouridine synthase
ILCLPFNH_00142	CDS	648	scpB			Segregation and condensation protein B
ILCLPFNH_00143	CDS	786	scpA		COG1354	Segregation and condensation protein A
ILCLPFNH_00144	CDS	780	ftsQ			Cell division protein FtsQ
ILCLPFNH_00145	CDS	303	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
ILCLPFNH_00146	CDS	486				hypothetical protein
ILCLPFNH_00147	CDS	1209				hypothetical protein
ILCLPFNH_00148	CDS	2682				hypothetical protein
ILCLPFNH_00149	CDS	204	rpmB3			Large ribosomal subunit protein bL28C
ILCLPFNH_00150	CDS	2169	recG	5.6.2.3	COG1200	ATP-dependent DNA helicase RecG
ILCLPFNH_00151	CDS	564	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
ILCLPFNH_00152	CDS	489	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
ILCLPFNH_00153	CDS	561				hypothetical protein
ILCLPFNH_00154	CDS	537			COG1399	putative protein
ILCLPFNH_00155	CDS	183	rpmF		COG0333	Large ribosomal subunit protein bL32
ILCLPFNH_00156	CDS	912	plsX	2.3.1.274		Phosphate acyltransferase
ILCLPFNH_00157	CDS	384	acpP_1			Acyl carrier protein
ILCLPFNH_00158	CDS	747	rnc	3.1.26.3	COG0571	Ribonuclease 3
ILCLPFNH_00159	CDS	834	mutM_1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
ILCLPFNH_00160	CDS	222	vapB2			Antitoxin VapB2
ILCLPFNH_00161	CDS	144	vapC2	3.1.-.-	COG1487	Ribonuclease VapC2
ILCLPFNH_00162	CDS	435				hypothetical protein
ILCLPFNH_00163	CDS	405				hypothetical protein
ILCLPFNH_00164	CDS	132				hypothetical protein
ILCLPFNH_00165	CDS	927	crtD	1.3.99.27		1-hydroxycarotenoid 3,4-desaturase
ILCLPFNH_00166	CDS	756				hypothetical protein
ILCLPFNH_00167	CDS	603	rtcB1	6.5.1.8		RNA-splicing ligase RtcB1
ILCLPFNH_00168	CDS	300				hypothetical protein
ILCLPFNH_00169	CDS	255				hypothetical protein
ILCLPFNH_00170	CDS	840				hypothetical protein
ILCLPFNH_00171	CDS	513	ndhS_1	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
ILCLPFNH_00172	CDS	843				hypothetical protein
ILCLPFNH_00173	CDS	126				hypothetical protein
ILCLPFNH_00174	CDS	243				hypothetical protein
ILCLPFNH_00175	CDS	681		2.1.1.-	COG2230	S-adenosylmethionine-dependent methyltransferase
ILCLPFNH_00176	CDS	171				hypothetical protein
ILCLPFNH_00177	CDS	117				hypothetical protein
ILCLPFNH_00178	tRNA	74				tRNA-Cys(gca)
ILCLPFNH_00179	CDS	231				hypothetical protein
ILCLPFNH_00180	CDS	1215	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
ILCLPFNH_00181	CDS	1758	bamB			Outer membrane protein assembly factor BamB
ILCLPFNH_00182	CDS	2259				hypothetical protein
ILCLPFNH_00183	CDS	873				hypothetical protein
ILCLPFNH_00184	CDS	627				hypothetical protein
ILCLPFNH_00185	CDS	819	birA_1	6.3.4.15		Bifunctional ligase/repressor BirA
ILCLPFNH_00186	CDS	1212				hypothetical protein
ILCLPFNH_00187	CDS	525				hypothetical protein
ILCLPFNH_00188	CDS	438	nfuA			Fe/S biogenesis protein NfuA
ILCLPFNH_00189	CDS	180				hypothetical protein
ILCLPFNH_00190	CDS	270				hypothetical protein
ILCLPFNH_00191	CDS	255				hypothetical protein
ILCLPFNH_00192	CDS	438	osmC	1.11.1.-	COG1764	Peroxiredoxin OsmC
ILCLPFNH_00193	CDS	645				hypothetical protein
ILCLPFNH_00194	CDS	321				hypothetical protein
ILCLPFNH_00195	CDS	915	drrA3_1	7.6.2.2		Daunorubicin resistance ATP-binding protein DrrA3
ILCLPFNH_00196	CDS	765				hypothetical protein
ILCLPFNH_00197	CDS	630				hypothetical protein
ILCLPFNH_00198	CDS	2457	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
ILCLPFNH_00199	CDS	585	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
ILCLPFNH_00200	CDS	1077	tal_1	2.2.1.2	COG0176	Transaldolase
ILCLPFNH_00201	CDS	816	tkt	2.2.1.1		Transketolase
ILCLPFNH_00202	CDS	438				hypothetical protein
ILCLPFNH_00203	CDS	783	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
ILCLPFNH_00204	CDS	912	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
ILCLPFNH_00205	CDS	1506	ffh	3.6.5.4	COG0541	Signal recognition particle protein
ILCLPFNH_00206	CDS	855	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
ILCLPFNH_00207	CDS	873				hypothetical protein
ILCLPFNH_00208	CDS	1218	ftsY	3.6.5.4		Signal recognition particle receptor FtsY
ILCLPFNH_00209	CDS	1326				hypothetical protein
ILCLPFNH_00210	CDS	3537	smc_1		COG1196	Chromosome partition protein Smc
ILCLPFNH_00211	CDS	183				hypothetical protein
ILCLPFNH_00212	CDS	771	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
ILCLPFNH_00213	CDS	453	yqeY		COG1610	putative protein YqeY
ILCLPFNH_00214	CDS	255				hypothetical protein
ILCLPFNH_00215	CDS	279				hypothetical protein
ILCLPFNH_00216	CDS	1458	htpX_1	3.4.24.-		Protease HtpX
ILCLPFNH_00217	CDS	258				hypothetical protein
ILCLPFNH_00218	CDS	270				hypothetical protein
ILCLPFNH_00219	CDS	1320	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
ILCLPFNH_00220	CDS	756	regX3_1			Sensory transduction protein RegX3
ILCLPFNH_00221	CDS	459				hypothetical protein
ILCLPFNH_00222	CDS	159				hypothetical protein
ILCLPFNH_00223	CDS	174				hypothetical protein
ILCLPFNH_00224	CDS	1014	icmF	5.4.99.13		Fused isobutyryl-CoA mutase
ILCLPFNH_00225	CDS	417				hypothetical protein
ILCLPFNH_00226	CDS	1233	xylH		COG4214	Xylose transport system permease protein XylH
ILCLPFNH_00227	CDS	777	frcA_1	7.5.2.-		Fructose import ATP-binding protein FrcA
ILCLPFNH_00228	CDS	1245				hypothetical protein
ILCLPFNH_00229	CDS	891				hypothetical protein
ILCLPFNH_00230	CDS	1197	nagC		COG1846	DNA-binding transcriptional dual regulator NagC
ILCLPFNH_00231	CDS	1413				hypothetical protein
ILCLPFNH_00232	CDS	1083				hypothetical protein
ILCLPFNH_00233	CDS	417		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
ILCLPFNH_00234	CDS	1455	htpX_2	3.4.24.-		Protease HtpX
ILCLPFNH_00235	CDS	405	blaI		COG3682	Transcriptional regulator BlaI
ILCLPFNH_00236	CDS	345				hypothetical protein
ILCLPFNH_00237	CDS	456				hypothetical protein
ILCLPFNH_00238	CDS	300				hypothetical protein
ILCLPFNH_00239	CDS	852	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
ILCLPFNH_00240	CDS	786				hypothetical protein
ILCLPFNH_00241	CDS	288				hypothetical protein
ILCLPFNH_00242	CDS	183				hypothetical protein
ILCLPFNH_00243	CDS	2214	ppk	2.7.4.1	COG0855	Polyphosphate kinase
ILCLPFNH_00244	CDS	297	fadD8	6.2.1.2	COG0318	Medium/long-chain-fatty-acid--CoA ligase FadD8
ILCLPFNH_00245	CDS	1335				hypothetical protein
ILCLPFNH_00246	CDS	228				hypothetical protein
ILCLPFNH_00247	CDS	894				hypothetical protein
ILCLPFNH_00248	CDS	1164	resC		COG0755	Cytochrome c biogenesis protein ResC
ILCLPFNH_00249	CDS	1641	ccs1			Cytochrome c biogenesis protein Ccs1
ILCLPFNH_00250	CDS	756				hypothetical protein
ILCLPFNH_00251	CDS	603	resA_1			Thiol-disulfide oxidoreductase ResA
ILCLPFNH_00252	CDS	168				hypothetical protein
ILCLPFNH_00253	CDS	1197			COG0327	GTP cyclohydrolase 1 type 2 
ILCLPFNH_00254	CDS	732			COG1579	putative protein
ILCLPFNH_00255	CDS	216				hypothetical protein
ILCLPFNH_00256	CDS	825	bpoC		COG2267	Putative non-heme bromoperoxidase BpoC
ILCLPFNH_00257	CDS	1071		3.4.11.25		Beta-peptidyl aminopeptidase BapA
ILCLPFNH_00258	CDS	195				hypothetical protein
ILCLPFNH_00259	CDS	855				hypothetical protein
ILCLPFNH_00260	CDS	651	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
ILCLPFNH_00261	CDS	336				hypothetical protein
ILCLPFNH_00262	CDS	888	thiG_1	2.8.1.10	COG2022	Thiazole synthase
ILCLPFNH_00263	CDS	207				hypothetical protein
ILCLPFNH_00264	CDS	510	glgC_1	2.7.7.27		Glucose-1-phosphate adenylyltransferase
ILCLPFNH_00265	CDS	1743	sdhA_1	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
ILCLPFNH_00266	CDS	402	yocK		COG1734	General stress protein 16O
ILCLPFNH_00267	CDS	285				hypothetical protein
ILCLPFNH_00268	CDS	834	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
ILCLPFNH_00269	CDS	249	nth	4.2.99.18		Endonuclease III
ILCLPFNH_00270	CDS	744				hypothetical protein
ILCLPFNH_00271	CDS	1506				hypothetical protein
ILCLPFNH_00272	CDS	153				hypothetical protein
ILCLPFNH_00273	CDS	684	trkA_1		COG0569	Trk system potassium uptake protein TrkA
ILCLPFNH_00274	CDS	657				hypothetical protein
ILCLPFNH_00275	CDS	966	ispH2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
ILCLPFNH_00276	CDS	312		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
ILCLPFNH_00277	CDS	1173	rnd	3.1.13.5		Ribonuclease D
ILCLPFNH_00278	CDS	861	mca_1	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
ILCLPFNH_00279	CDS	1317	nanM_1	5.1.3.24		N-acetylneuraminate epimerase
ILCLPFNH_00280	CDS	624	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
ILCLPFNH_00281	CDS	1272				hypothetical protein
ILCLPFNH_00282	CDS	1545	nupO_1	7.6.2.-	COG3845	Guanosine import ATP-binding protein NupO
ILCLPFNH_00283	CDS	1155	nupP_1		COG4603	Guanosine ABC transporter permease protein NupP
ILCLPFNH_00284	CDS	1347				hypothetical protein
ILCLPFNH_00285	CDS	216				hypothetical protein
ILCLPFNH_00286	CDS	1245				hypothetical protein
ILCLPFNH_00287	CDS	1188	lgdh_1	1.1.1.425	COG0673	Levoglucosan dehydrogenase
ILCLPFNH_00288	CDS	768	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ILCLPFNH_00289	CDS	783	lptB_1	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ILCLPFNH_00290	CDS	1512				hypothetical protein
ILCLPFNH_00291	CDS	1128				hypothetical protein
ILCLPFNH_00292	CDS	1086	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ILCLPFNH_00293	CDS	1440	glcD_1	1.1.99.14	COG0277	Glycolate oxidase subunit GlcD
ILCLPFNH_00294	CDS	885		4.2.1.118		3-dehydroshikimate dehydratase
ILCLPFNH_00295	CDS	1239				hypothetical protein
ILCLPFNH_00296	CDS	921	crnA	3.5.2.10		Creatinine amidohydrolase
ILCLPFNH_00297	CDS	750				hypothetical protein
ILCLPFNH_00298	CDS	750	lutA_1		COG0247	Lactate utilization protein A
ILCLPFNH_00299	CDS	1494	lutB		COG1139	Lactate utilization protein B
ILCLPFNH_00300	CDS	627	lutC		COG1556	Lactate utilization protein C
ILCLPFNH_00301	CDS	450				hypothetical protein
ILCLPFNH_00302	CDS	876				hypothetical protein
ILCLPFNH_00303	CDS	1071				hypothetical protein
ILCLPFNH_00304	CDS	156				hypothetical protein
ILCLPFNH_00305	CDS	267				hypothetical protein
ILCLPFNH_00306	CDS	1323	pncB2	6.3.4.21		Nicotinate phosphoribosyltransferase pncB2
ILCLPFNH_00307	CDS	678			COG1051	ADPR responsive transcriptional repressor NtrR
ILCLPFNH_00308	CDS	2091	uvrD2	5.6.2.4	COG0210	ATP-dependent DNA helicase UvrD2
ILCLPFNH_00309	CDS	123				hypothetical protein
ILCLPFNH_00310	CDS	546				hypothetical protein
ILCLPFNH_00311	CDS	117				hypothetical protein
ILCLPFNH_00312	CDS	273				hypothetical protein
ILCLPFNH_00313	CDS	1053				hypothetical protein
ILCLPFNH_00314	CDS	159				hypothetical protein
ILCLPFNH_00315	CDS	720				hypothetical protein
ILCLPFNH_00316	CDS	1131	manB_1	2.7.7.13	COG1208	Mannose-1-phosphate guanylyltransferase
ILCLPFNH_00317	CDS	372	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
ILCLPFNH_00318	CDS	993		1.3.1.103		2-haloacrylate reductase
ILCLPFNH_00319	CDS	198				hypothetical protein
ILCLPFNH_00320	CDS	606	biuH	3.5.1.84		Biuret amidohydrolase
ILCLPFNH_00321	CDS	246				hypothetical protein
ILCLPFNH_00322	CDS	255				hypothetical protein
ILCLPFNH_00323	CDS	1251				hypothetical protein
ILCLPFNH_00324	CDS	204				hypothetical protein
ILCLPFNH_00325	CDS	390				hypothetical protein
ILCLPFNH_00326	CDS	336				hypothetical protein
ILCLPFNH_00327	CDS	246				hypothetical protein
ILCLPFNH_00328	CDS	222	tatA			Sec-independent protein translocase protein TatA
ILCLPFNH_00329	CDS	822	tatC		COG0805	Sec-independent protein translocase protein TatC
ILCLPFNH_00330	CDS	2790	helY	3.6.4.-	COG4581	putative helicase HelY
ILCLPFNH_00331	CDS	945	dagK_1	2.7.1.107		Diacylglycerol kinase
ILCLPFNH_00332	CDS	507	yraA	3.2.-.-	COG0693	Putative cysteine protease YraA
ILCLPFNH_00333	CDS	1107	pepE	3.4.13.-	COG0006	putative dipeptidase PepE
ILCLPFNH_00334	CDS	1143	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
ILCLPFNH_00335	CDS	339				hypothetical protein
ILCLPFNH_00336	CDS	711	rnhA	3.1.26.4		Ribonuclease H
ILCLPFNH_00337	CDS	1563	nfdA_1	3.5.1.91		N-substituted formamide deformylase
ILCLPFNH_00338	CDS	1722	nfdA_2	3.5.1.91		N-substituted formamide deformylase
ILCLPFNH_00339	CDS	624				hypothetical protein
ILCLPFNH_00340	CDS	150				hypothetical protein
ILCLPFNH_00341	CDS	1035	dop_1	3.4.-.-	COG4122	Depupylase
ILCLPFNH_00342	CDS	189	pup			Prokaryotic ubiquitin-like protein Pup
ILCLPFNH_00343	CDS	831				hypothetical protein
ILCLPFNH_00344	CDS	711	prcA		COG0638	Proteasome subunit alpha
ILCLPFNH_00345	CDS	1344	dap	3.4.11.19		D-aminopeptidase
ILCLPFNH_00346	CDS	375	ndhC	7.1.1.-	COG0838	NAD(P)H-quinone oxidoreductase subunit 3
ILCLPFNH_00347	CDS	216				hypothetical protein
ILCLPFNH_00348	CDS	1086	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ILCLPFNH_00349	CDS	1524				hypothetical protein
ILCLPFNH_00350	CDS	366				hypothetical protein
ILCLPFNH_00351	CDS	474				hypothetical protein
ILCLPFNH_00352	CDS	141				hypothetical protein
ILCLPFNH_00353	CDS	1362				hypothetical protein
ILCLPFNH_00354	CDS	819	rimK_1	6.3.2.-		Ribosomal protein bS6--L-glutamate ligase
ILCLPFNH_00355	CDS	1248	mtlD	1.1.1.17		Mannitol-1-phosphate 5-dehydrogenase
ILCLPFNH_00356	CDS	246				hypothetical protein
ILCLPFNH_00357	CDS	816				IS481 family transposase ISChy3
ILCLPFNH_00358	CDS	1368				hypothetical protein
ILCLPFNH_00359	CDS	678				hypothetical protein
ILCLPFNH_00360	CDS	159				hypothetical protein
ILCLPFNH_00361	CDS	132				hypothetical protein
ILCLPFNH_00362	CDS	972	bkdB	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
ILCLPFNH_00363	CDS	510				hypothetical protein
ILCLPFNH_00364	CDS	894				hypothetical protein
ILCLPFNH_00365	CDS	1410				hypothetical protein
ILCLPFNH_00366	CDS	4254	smc_2			Chromosome partition protein Smc
ILCLPFNH_00367	CDS	1308				hypothetical protein
ILCLPFNH_00368	CDS	228			COG5450	Antitoxin VapB11
ILCLPFNH_00369	CDS	414		3.1.-.-	COG1487	Ribonuclease VapC11
ILCLPFNH_00370	CDS	903				hypothetical protein
ILCLPFNH_00371	CDS	726				hypothetical protein
ILCLPFNH_00372	CDS	291				hypothetical protein
ILCLPFNH_00373	CDS	1464				hypothetical protein
ILCLPFNH_00374	CDS	219				hypothetical protein
ILCLPFNH_00375	CDS	735				hypothetical protein
ILCLPFNH_00376	CDS	225				hypothetical protein
ILCLPFNH_00377	CDS	561				hypothetical protein
ILCLPFNH_00378	CDS	804				hypothetical protein
ILCLPFNH_00379	CDS	1137				hypothetical protein
ILCLPFNH_00380	CDS	795				hypothetical protein
ILCLPFNH_00381	CDS	576				hypothetical protein
ILCLPFNH_00382	CDS	846				hypothetical protein
ILCLPFNH_00383	CDS	435	mreB_2		COG1077	Cell shape-determining protein MreB
ILCLPFNH_00384	CDS	852				hypothetical protein
ILCLPFNH_00385	CDS	255				hypothetical protein
ILCLPFNH_00386	CDS	423				hypothetical protein
